service_request_key,created_date,request_type,description,request_type_code,status_code,intake_form,days_to_complete,sla_fy_2019,on_time_indicator,completed_at,due_at,ispublic,council_district,loc
15484397,05/31/2024 12:56:56 PM,Potholes,,EMERGENCY,O-NEW,iOS,,5,N/A,,06/12/2024 12:56:56 PM,yes,9,POINT (-85.272372 35.019488)
15484123,05/31/2024 12:18:48 PM,Distressed Pavement,there is more damage than what is shown in thus photo.,EMERGENCY,O-NEW,gov.publicstuff.com,,20,N/A,,06/04/2024 12:18:48 PM,yes,7,POINT (-85.307449225 35.050603078)
15483466,05/31/2024 10:49:36 AM,Distressed Pavement,"States the street is in bad shape, need paved due to so much ware and tare.",EMERGENCY,O-NEW,gov.publicstuff.com,,20,N/A,,06/04/2024 10:49:36 AM,yes,3,POINT (-85.239445311 35.136952527)
15482521,05/31/2024 07:37:31 AM,Potholes,This spot has been worked on before around a man hole.  It has sunk again.  Thanks for your help to get this smoothed out!,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/12/2024 07:37:31 AM,yes,1,POINT (-85.23510712 35.170336814)
15482519,05/31/2024 07:35:52 AM,Potholes,Big depression around man hole across from trailers,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/12/2024 07:35:52 AM,yes,1,POINT (-85.234050054 35.171726148)
15482515,05/31/2024 07:34:06 AM,Potholes,the area around the man hole cover across from the intersection of Brookmont Lane has cracked and opened a hole,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/12/2024 07:34:06 AM,yes,1,POINT (-85.237390013 35.168837552)
15482509,05/31/2024 07:30:59 AM,Potholes,Big depression around man hole,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/12/2024 07:30:59 AM,yes,1,POINT (-85.237771883 35.168611201)
15481141,05/30/2024 05:29:32 PM,Potholes,MASSIVE potholes,NONE,O-NEW,iOS,,5,N/A,,06/11/2024 05:29:32 PM,yes,3,POINT (-85.239488 35.126516)
15478611,05/30/2024 11:57:27 AM,Potholes,It is right at the intersection of 4300 Bellview Ave and 4500 Paw Trail.  There is previous pothole that has been fixed several times by it but this is a new pothole - described by the citizen as a sink hole.,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/11/2024 11:57:27 AM,yes,5,POINT (-85.198161315 35.079543682)
15474487,05/29/2024 04:02:31 PM,Potholes,,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/10/2024 04:02:31 PM,yes,8,POINT (-85.252503833 35.074005187)
15473136,05/29/2024 01:41:56 PM,Distressed Pavement,"They need the street paved, it is in bad shape, it is a accident waiting to happen.",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,20,Yes,05/30/2024 10:26:30 AM,05/31/2024 01:41:56 PM,yes,2,POINT (-85.304647671 35.065821564)
15472856,05/29/2024 01:09:30 PM,Distressed Pavement,States on Lower Mill Rd to Grubb Rd  the streets needs paving.,EMERGENCY,O-NEW,gov.publicstuff.com,,20,N/A,,06/05/2024 01:09:30 PM,yes,1,POINT (-85.24445597 35.154436207)
15471796,05/29/2024 11:08:42 AM,Potholes,Pothole at cross st and 800 block of mtn creek road,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/29/2024 11:09:20 AM,06/10/2024 11:08:42 AM,yes,1,POINT (-85.327568442 35.100274776)
15471666,05/29/2024 10:51:27 AM,Potholes,There is a Marble company that it is front of & right by the intersection of 2000 Wilder & 3000 Roanoke.,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/10/2024 10:51:27 AM,yes,8,POINT (-85.252405375 35.073969437)
15471570,05/29/2024 10:38:02 AM,Potholes,,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/10/2024 10:38:02 AM,yes,4,POINT (-85.096558198 35.075293413)
15471527,05/29/2024 10:32:27 AM,Distressed Pavement,Caller states that work was done out in the street about a week ago for a leak by the water company and he states that now it looks like the road is crumbling (collapsing) underneath from the water. He states that he believes the work is still open but is concerned about the street and wants to know what if this is being addressed,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,20,Yes,05/29/2024 02:49:25 PM,05/31/2024 10:32:27 AM,yes,4,POINT (-85.124244403 35.026259617)
15471137,05/29/2024 09:46:42 AM,Potholes,Lot's of potholes in the alley in the rear,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/29/2024 02:02:03 PM,06/10/2024 09:46:42 AM,yes,7,POINT (-85.282839338 34.998140113)
15471110,05/29/2024 09:42:24 AM,Potholes,"There is a space between 6679 and 6686 Sandswitch Road that has had repairs before and needs help again. It doesn't seem like much, but all day long cars hit it and especially if a truck pulling a trailer, it makes a loud boom.  Wakes you up at night",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/31/2024 06:56:40 AM,06/10/2024 09:42:24 AM,yes,1,POINT (-85.237196898 35.168949101)
15470556,05/29/2024 08:09:17 AM,Potholes,Large sink hole and smaller pot holes on this road. Makes driving through difficult. Alley located where Scenic city Bootcamp resides.,EMERGENCY,O-CLOSED,iOS,0,5,Yes,05/29/2024 03:08:21 PM,06/10/2024 08:09:17 AM,yes,3,POINT (-85.239624 35.126522)
15469211,05/28/2024 06:50:23 PM,Potholes,We're at the corner right there Master machine the business. Right there behind the business is that parking lot we got to go down to Alley to get in our parking lot to Master machine. We can't get down the early man it's too many potholes. We're open five six days a week. Look behind the building the potholes the whole big alley,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,05/29/2024 06:41:56 AM,06/07/2024 06:50:23 PM,yes,7,POINT (-85.282738321 34.99807487)
15468773,05/28/2024 05:47:21 PM,Potholes,pots and random objects from construction being done,EMERGENCY,O-CLOSED,iOS,3,5,Yes,05/31/2024 06:55:09 AM,06/07/2024 05:47:21 PM,no,8,
15468159,05/28/2024 04:21:07 PM,Distressed Pavement,"The caller reported that Dayton Blvd., down to Dowlen Rd., needs repaving due to several potholes and sinking concrete. She mentioned that the road requires immediate attention due to the potential for vehicle damage. She also mentioned that Dowlen Rd. needs attention due to distressed pavement.",EMERGENCY,O-NEW,gov.publicstuff.com,,20,N/A,,06/07/2024 04:21:07 PM,yes,1,POINT (-85.260311071 35.167724944)
15467249,05/28/2024 02:43:50 PM,Potholes,"the ground has raised up, it is very dangerous to drive over",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/29/2024 09:29:56 AM,06/07/2024 02:43:50 PM,yes,4,POINT (-85.132731975 35.02570703)
15464111,05/28/2024 09:30:10 AM,Potholes,1600 thru 1100 Lower Mill Rd in Hixson for potholes to be filled/refilled. Thank You,NONE,O-NEW,gov.publicstuff.com,,5,N/A,,06/07/2024 09:30:10 AM,yes,3,POINT (-85.232845809 35.164471172)
15462650,05/27/2024 08:17:24 PM,Potholes,This road is in very bad condition and has not been paved for over a decade. Would appreciate it if someone could come out and even out this road since we are driving through the potholes and terrible conditioned road here. The whole of Pennsylvania Ave needs to be repaved but these potholes I marked off is the worst part.,EMERGENCY,O-OPEN,Iframe,,5,N/A,,06/06/2024 08:17:24 PM,yes,7,POINT (-85.329284993 35.011170395)
15462513,05/27/2024 07:24:53 PM,Potholes,Where a new house was built there is a type of sinkhole in front of that house,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/29/2024 11:21:54 AM,06/06/2024 07:24:53 PM,no,1,
15459785,05/26/2024 02:32:28 PM,Potholes,,EMERGENCY,O-CLOSED,Android,2,5,Yes,05/28/2024 06:32:46 AM,06/06/2024 02:32:28 PM,yes,8,POINT (-85.297989361 35.024661032)
15459378,05/26/2024 11:23:53 AM,Potholes,this same area keeps getting patched.  please fix the underlying problem.,EMERGENCY,O-CLOSED,Android,3,5,Yes,05/29/2024 11:54:34 AM,06/06/2024 11:23:53 AM,yes,3,POINT (-85.188480131 35.141877916)
15457582,05/25/2024 11:03:47 AM,Potholes,"Woodland Ave (an alley) between Noll St and Colville St has major washout needing gravel fill, grading, and paving.",STANDARD,O-NEW,Iframe,,5,N/A,,06/06/2024 11:03:47 AM,yes,2,POINT (-85.305130376 35.069167774)
15457562,05/25/2024 10:52:35 AM,Potholes,rough patch in middle of road...multiple potholes..,EMERGENCY,O-CLOSED,Iframe,2,5,Yes,05/28/2024 01:03:42 PM,06/06/2024 10:52:35 AM,yes,2,POINT (-85.272555956 35.121808291)
15455592,05/24/2024 03:07:41 PM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/28/2024 03:08:40 PM,06/05/2024 03:07:41 PM,yes,9,POINT (-85.237469442 35.046511988)
15455370,05/24/2024 02:37:08 PM,Potholes,The caller reports that the alleyway at the rear of her home has several potholes that must be repaired. She states that driving over the potholes will damage her vehicle if not repaired.,EMERGENCY,O-CLOSED,gov.publicstuff.com,5,5,Yes,05/31/2024 07:00:42 AM,06/05/2024 02:37:08 PM,yes,8,POINT (-85.273876596 35.036636845)
15454349,05/24/2024 12:12:47 PM,Potholes,The depression crosses the entire width of the street.  The  dip  is getting more significant each day.,EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/29/2024 06:48:09 AM,06/05/2024 12:12:47 PM,yes,4,POINT (-85.132282196 35.007292917)
15454333,05/24/2024 12:10:18 PM,Potholes,The asphalt has disintegrated at the corner of Morin Road and Morris Hill Road when you make the turn onto Morin from the direction of Igou Gap.,EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/29/2024 06:48:11 AM,06/05/2024 12:10:18 PM,yes,4,POINT (-85.130007682 35.006027469)
15454011,05/24/2024 11:27:18 AM,Potholes,They built anew subdivision & the dump trucks have really tore up our streets.  Also when are planning to pave Jenkins Road.,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/05/2024 11:27:18 AM,yes,4,POINT (-85.143773828 35.00986999)
15451850,05/23/2024 06:17:08 PM,Potholes,pothole is at intersection of Velma and Kent Streets,EMERGENCY,O-CLOSED,Android,4,5,Yes,05/29/2024 10:26:36 AM,06/04/2024 06:17:08 PM,yes,1,POINT (-85.309752524 35.064137244)
15451256,05/23/2024 04:26:41 PM,Potholes,The whole are very deep . Please help .It's the only way into our parking lot to the company.We have alot of Comsuter s to the Building. It's bad.,EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/28/2024 01:30:10 PM,06/04/2024 04:26:41 PM,yes,7,POINT (-85.283537275 34.99788918)
15450841,05/23/2024 03:40:52 PM,Potholes,"Depression about 2 inches deep,  done by AT&T or comcast. Ozark Rd & Ozark Pl.",EMERGENCY,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/29/2024 06:49:20 AM,06/04/2024 03:40:52 PM,yes,2,POINT (-85.287992497 35.101019226)
15450714,05/23/2024 03:24:56 PM,Potholes,"between 412 & 4975.  Vehicles are always swerving to avoid the potholes as well. Any chance of adding more asphalt & smoothing that? That s probably too much to ask, but any mowing would be greatly appreciated.",EMERGENCY,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/29/2024 06:48:06 AM,06/04/2024 03:24:56 PM,yes,,POINT (-85.286382602 35.140603685)
15449615,05/23/2024 12:56:19 PM,Potholes,There was work done in these areas and left 2 huge empty holes in the road,EMERGENCY,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/28/2024 03:09:14 PM,06/04/2024 12:56:19 PM,yes,9,POINT (-85.237532764 35.046526578)
15448957,05/23/2024 11:36:26 AM,Potholes,"The caller reported that several potholes need immediate repair. Heavy equipment, trucks, and machinery have caused the street, which is a main artery for travel, to have many deep depressions.",EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/04/2024 11:36:26 AM,yes,4,POINT (-85.137615986 35.049290203)
15448883,05/23/2024 11:26:21 AM,Potholes,"The caller reported that two large, deep potholes need to be filled.",EMERGENCY,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/28/2024 03:09:48 PM,06/04/2024 11:26:21 AM,yes,9,POINT (-85.237714852 35.044638614)
15447870,05/23/2024 09:08:03 AM,Potholes,Citizen request that if possible to pave across the entire street to prevent the pothole from coming back bc it has been patched up at least 3 times. States the pothole is in the road between 109 & 111 Sunnyside Dr.,EMERGENCY,O-CLOSED,gov.publicstuff.com,5,5,Yes,05/30/2024 10:28:30 AM,06/04/2024 09:08:03 AM,yes,5,POINT (-85.241989409 35.024296603)
15445962,05/22/2024 05:23:45 PM,Potholes,Road in front of my house is messed up!  Needs to be fixed!,EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/23/2024 03:29:34 PM,06/03/2024 05:23:45 PM,yes,4,POINT (-85.124962 35.021179)
15445556,05/22/2024 04:20:06 PM,Potholes,The pothole is in the section of street that is colorfully painted.,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,05/23/2024 12:04:48 PM,06/03/2024 04:20:06 PM,yes,7,POINT (-85.309289177 35.04408825)
15445341,05/22/2024 03:49:56 PM,Potholes,"She had to replace the left front driver side tire of her car. She has the paperwork, pictures of the car, potholes, tire et., the car was taken to Walmart for repair on Sat. Apr. 13th @ 12:48 PM.",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 09:42:33 AM,06/03/2024 03:49:56 PM,yes,4,POINT (-85.152779728 35.035201804)
15445139,05/22/2024 03:18:39 PM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 10:54:37 AM,06/03/2024 03:18:39 PM,yes,4,POINT (-85.138374341 35.002171128)
15445045,05/22/2024 03:07:31 PM,Potholes,There are two pot holes at the corner of 42nd and 6th Ave.,EMERGENCY,O-CLOSED,Android,1,5,Yes,05/23/2024 12:03:19 PM,06/03/2024 03:07:31 PM,yes,7,POINT (-85.289074033 34.995442151)
15444678,05/22/2024 02:15:16 PM,Potholes,"Sizeable pothole, possibly a sinkhole",EMERGENCY,O-CLOSED,Iframe,5,5,Yes,05/29/2024 10:19:21 AM,06/03/2024 02:15:16 PM,yes,2,POINT (-85.305297674 35.064380754)
15444451,05/22/2024 01:43:05 PM,Potholes,"Please -fix the potholes and other damages to thee areas, repave and pvt. street. If possible crate W/O while already working in this area.",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 10:15:02 AM,06/03/2024 01:43:05 PM,yes,3,POINT (-85.245046318 35.146331391)
15444232,05/22/2024 01:14:28 PM,Potholes,,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/03/2024 01:14:28 PM,yes,1,POINT (-85.271128715 35.151304984)
15443815,05/22/2024 12:16:47 PM,Potholes,Depression,EMERGENCY,O-CLOSED,Android,1,5,Yes,05/23/2024 10:23:21 AM,06/03/2024 12:16:47 PM,yes,6,POINT (-85.170625163 35.049775427)
15443786,05/22/2024 12:11:30 PM,Potholes,Pot hole/depression in street,EMERGENCY,O-CLOSED,Android,1,5,Yes,05/23/2024 10:13:17 AM,06/03/2024 12:11:30 PM,yes,6,POINT (-85.170534383 35.049800638)
15443642,05/22/2024 11:48:56 AM,Potholes,1500 block s. Willow at Main Street 37404,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 12:50:02 PM,06/03/2024 11:48:56 AM,yes,8,POINT (-85.277179266 35.024955512)
15443633,05/22/2024 11:47:41 AM,Potholes,S Hickory 300 at McCallie Ave,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 12:49:46 PM,06/03/2024 11:47:41 AM,yes,8,POINT (-85.306716075 35.048357042)
15443574,05/22/2024 11:38:39 AM,Potholes,Bad dip in road at 6845 Bacon LN 37421- text,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/23/2024 09:26:47 AM,06/03/2024 11:38:39 AM,yes,6,POINT (-85.169735151 35.032275777)
15443077,05/22/2024 10:35:23 AM,Distressed Pavement,The caller reported that the road's edge is collapsing between 1632 and 1636 E. Boyscout Rd. and beyond. He stated that the worst area is between 1632 and 1636 E. Boyscout Rd.,EMERGENCY,O-CLOSED,gov.publicstuff.com,4,20,Yes,05/28/2024 10:00:51 AM,05/31/2024 10:35:23 AM,yes,3,POINT (-85.204620337 35.168151537)
15442125,05/22/2024 08:20:30 AM,Potholes,"Hello! Our alley behind Barton between McFarland and Carroll has a ton of potholes and erosion. Two years ago, the city patched the holes and they are back and worse than ever. I d like to request the alley to be re-paved if possible to take care of all the issues. This is only one photo - there are several issues throughout the alley.",NONE,O-CLOSED,iOS,6,5,Yes,05/30/2024 11:14:34 AM,06/03/2024 08:20:30 AM,yes,2,POINT (-85.295927 35.064408)
15439670,05/21/2024 03:29:03 PM,Potholes,4700 block of Old Mission Rd -middle lane near yellow line close to McDonald's on Moore Rd 4 potholes,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/22/2024 09:47:37 AM,05/31/2024 03:29:03 PM,yes,5,POINT (-85.228664313 35.017536423)
15439429,05/21/2024 03:00:23 PM,Potholes,Caller states they cam and filled some potholes on the one side of the railroad tracks but On Wauhatchie Pike and Gordon road there are so many potholes you don't know where to go to avoid them. He states he is going to take a video and put it on the news,EMERGENCY,O-CLOSED,gov.publicstuff.com,6,5,Yes,05/29/2024 10:09:36 AM,05/31/2024 03:00:23 PM,yes,1,POINT (-85.385043669 34.99231578)
15439374,05/21/2024 02:52:44 PM,Potholes,A strip has been cut out of the pavement and has not been fixed causing a deep depression across the full width of the road at this intersection.,EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/22/2024 09:37:27 AM,05/31/2024 02:52:44 PM,yes,2,POINT (-85.287074 35.101276)
15439365,05/21/2024 02:51:37 PM,Potholes,Very deep potholes - There has not been any work done on this street in years.,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/23/2024 01:25:07 PM,05/31/2024 02:51:37 PM,yes,9,POINT (-85.269464456 35.009169734)
15439335,05/21/2024 02:47:32 PM,Potholes,Potholes 200 - 300 Block,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/23/2024 01:20:37 PM,05/31/2024 02:47:32 PM,yes,9,POINT (-85.267023277 35.014537203)
15439144,05/21/2024 02:20:25 PM,Potholes,Area has been repaired multiple times over the last couple years.  Just before entrance to Chattanooga Golf and Country Club.,EMERGENCY,O-CLOSED,Iframe,6,5,Yes,05/29/2024 02:20:57 PM,05/31/2024 02:20:25 PM,yes,2,POINT (-85.283676472 35.068458131)
15437630,05/21/2024 11:22:05 AM,Potholes,Caller said their needs to repaved,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/23/2024 10:11:53 AM,05/31/2024 11:22:05 AM,yes,7,POINT (-85.28643977 34.99292698)
15436729,05/21/2024 09:15:26 AM,Potholes,Potholes and rough payment,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,05/22/2024 01:35:17 PM,05/31/2024 09:15:26 AM,yes,5,POINT (-85.192474379 35.084299578)
15436362,05/21/2024 08:04:34 AM,Potholes,It is on the Kelly s Ferry Rd side.  Big pothole in between road and parking lot.,EMERGENCY,O-CLOSED,iOS,6,5,Yes,05/29/2024 09:48:59 AM,05/31/2024 08:04:34 AM,no,1,
15436200,05/21/2024 06:12:15 AM,Potholes,Water is coming up from under the street,EMERGENCY,O-CLOSED,Iframe,0,5,Yes,05/21/2024 06:33:08 AM,05/31/2024 06:12:15 AM,yes,8,POINT (-85.261161198 35.058686044)
15434748,05/20/2024 05:22:21 PM,Potholes,The builder saw cut the road for something and left it that way. I am told these are now City owned streets. Please make the builder repair it as this should not be paid for by tax dollars.,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,05/21/2024 09:12:06 AM,05/30/2024 05:22:21 PM,yes,4,POINT (-85.144869558 35.009471596)
15434516,05/20/2024 04:49:22 PM,Potholes,There is a sinkhole is coming up in the middle of the street,EMERGENCY,O-CLOSED,gov.publicstuff.com,7,5,Yes,05/29/2024 06:41:00 AM,05/30/2024 04:49:22 PM,yes,6,POINT (-85.166778043 35.047805857)
15433836,05/20/2024 03:30:52 PM,Distressed Pavement,"As you come into Hamilton Mills Subdivision, it looks like the pavement has erupted in the street.",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,20,Yes,05/21/2024 08:59:37 AM,05/22/2024 03:30:52 PM,yes,4,POINT (-85.132908643 35.025510843)
15432647,05/20/2024 01:18:47 PM,Potholes,"Potholes on right lane on the right side where the ramp comes into the road. On the road, not the ramp.",EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/21/2024 06:42:21 AM,05/30/2024 01:18:47 PM,yes,6,POINT (-85.183325 35.031743)
15432445,05/20/2024 12:56:08 PM,Potholes,,EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/21/2024 11:20:07 AM,05/30/2024 12:56:08 PM,yes,9,POINT (-85.248991 35.065533)
15432413,05/20/2024 12:53:24 PM,Potholes,The citizen states some potholes need repairing. The distressed pavement is  closed to this address and a street that doesn't have a name by the driveway.,EMERGENCY,O-CLOSED,gov.publicstuff.com,7,5,Yes,05/29/2024 06:38:42 AM,05/30/2024 12:53:24 PM,yes,3,POINT (-85.245046318 35.146331391)
15431905,05/20/2024 11:56:54 AM,Potholes,"Intersection Rogers Rd. and Woodvale Ave. (2) large potholes The caller states that he attended a City Hall meeting about the potholes at this location. He was told they would correct the issue, but the problem still exists.",EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/21/2024 11:37:38 AM,05/30/2024 11:56:54 AM,yes,5,POINT (-85.226709434 35.024324203)
15431740,05/20/2024 11:41:15 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/21/2024 12:30:03 PM,05/30/2024 11:41:15 AM,yes,5,POINT (-85.235616271 35.022612184)
15431488,05/20/2024 11:17:27 AM,Potholes,"Intersection of Standifer Gap Rd. and Jenkins Rd. A caller reported hitting a fallen yield sign on the road at 10:30 p.m. on 5-18-2024. She mentioned that she couldn't avoid the sign due to ongoing traffic, and as a result, three of her tires were damaged. The damage to her vehicle is as follows: 1. Front (R) 2. 2- rear tires",EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,05/30/2024 11:17:27 AM,yes,6,POINT (-85.151178814 35.052678787)
15431032,05/20/2024 10:33:53 AM,Potholes,Potholes in the middle of the street at 604 Maple Street Ct down by the Westside Center near14thth street Ct and Popular Street where are more Potholes. They requesting the entire street be repaved because the asphalt is pealing away.,EMERGENCY,O-CLOSED,gov.publicstuff.com,8,5,Yes,05/30/2024 04:13:30 PM,06/06/2024 10:33:53 AM,yes,7,POINT (-85.316741559 35.041543423)
15429986,05/20/2024 08:13:12 AM,Potholes,Cross street is Greenview Way Drive,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/20/2024 01:22:45 PM,05/30/2024 08:13:12 AM,yes,6,POINT (-85.209261537 35.009142316)
15429881,05/20/2024 07:41:22 AM,Potholes,,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/22/2024 12:03:48 PM,05/30/2024 07:41:22 AM,yes,4,POINT (-85.167238 35.031056)
15429416,05/19/2024 09:04:35 PM,Potholes,Pothole in front of this address.,EMERGENCY,O-CLOSED,Iframe,0,5,Yes,05/20/2024 12:46:04 PM,05/30/2024 09:04:35 PM,yes,,POINT (-85.252852395 35.035808491)
15428967,05/19/2024 05:37:18 PM,Potholes,Construction has been going on in our neighborhood for the past year. Ever since the construction started the company/companies have torn up Oak street and O Neal Street repeatedly and don t fill in the pot holes. Outside of my house specifically there s numerous potholes that have been left behind. And on oak street there s a few massive holes I ve attached a photo of.,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/05/2024 05:37:18 PM,yes,8,POINT (-85.289561568 35.042480342)
15428682,05/19/2024 03:19:58 PM,Potholes,Multiple large potholes and rough  pavement,EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/20/2024 02:36:20 PM,05/30/2024 03:19:58 PM,yes,1,POINT (-85.371936 35.04688)
15428558,05/19/2024 02:30:29 PM,Potholes,several potholes and missing pavement,EMERGENCY,O-CLOSED,Iframe,2,5,Yes,05/21/2024 01:50:32 PM,05/30/2024 02:30:29 PM,yes,1,POINT (-85.313843622 35.108826376)
15428526,05/19/2024 02:19:57 PM,Potholes,"Very rough pavement, sinking",EMERGENCY,O-NEW,Iframe,,5,N/A,,06/06/2024 02:19:57 PM,yes,2,POINT (-85.260744396 35.111963958)
15427577,05/18/2024 10:50:09 PM,Potholes,there is more damage than what is shown in thus photo.,EMERGENCY,O-CLOSED,Android,1,5,Yes,05/20/2024 02:40:22 PM,05/30/2024 10:50:09 PM,yes,7,POINT (-85.30747097 35.050609632)
15418768,05/17/2024 04:26:16 PM,Potholes,,EMERGENCY,O-CLOSED,Iframe,2,5,Yes,05/21/2024 02:21:48 PM,05/29/2024 04:26:16 PM,yes,8,POINT (-85.289003668 35.040161337)
15418154,05/17/2024 02:56:25 PM,Potholes,Cul-de-sac not defined. Road surface depressions  Mobil home park blocking driveways encroaching on private property. Road surface of entire road needs paving. Rain water drains not secure or level with Road surface.  Mobil home park is using entire cul-de-sac of road,EMERGENCY,O-CLOSED,iOS,3,5,Yes,05/22/2024 06:44:38 AM,05/29/2024 02:56:25 PM,yes,1,POINT (-85.270918 35.152299)
